% Flood Neural Network. Input-Target Data Set Object.
NumberOfSamples:
77
NumberOfInputVariables:
6
NumberOfTargetVariables:
1
NameOfInputVariables:
LCB Cp LWL/DIS^(1/3) BWL/Tc LWL/BWL Fn 
NameOfTargetVariables:
(Rr*1000)/(g*mh) 
UnitsOfInputVariables:
None None None None None None 
UnitsOfTargetVariables:
None 
DescriptionOfInputVariables:
None None None None None None 
DescriptionOfTargetVariables:
None 
InputAndTargetData:
-2.3 0.568 4.78 3.99 3.17 0.2 0.78 
-2.3 0.568 4.78 3.99 3.17 0.3 3.76 
-2.3 0.568 4.78 3.99 3.17 0.4 20.11 
-2.3 0.569 4.78 3.04 3.64 0.15 0.17 
-2.3 0.569 4.78 3.04 3.64 0.25 1.59 
-2.3 0.569 4.78 3.04 3.64 0.35 7.11 
-2.3 0.569 4.78 3.04 3.64 0.45 51.8 
-2.3 0.565 4.78 5.35 2.76 0.2 0.86 
-2.3 0.565 4.78 5.35 2.76 0.3 4.21 
-2.3 0.565 4.78 5.35 2.76 0.4 21.4 
-2.3 0.564 5.1 3.95 3.53 0.15 0.35 
-2.3 0.564 5.1 3.95 3.53 0.25 1.97 
-2.3 0.564 5.1 3.95 3.53 0.35 8.03 
-2.3 0.564 5.1 3.95 3.53 0.45 50.36 
-2.4 0.574 4.36 3.96 2.76 0.2 0.93 
-2.4 0.574 4.36 3.96 2.76 0.3 3.99 
-2.4 0.574 4.36 3.96 2.76 0.4 21.51 
-2.4 0.568 4.34 2.98 3.15 0.15 0.26 
-2.4 0.568 4.34 2.98 3.15 0.25 1.67 
-2.4 0.568 4.34 2.98 3.15 0.35 6.86 
-2.4 0.568 4.34 2.98 3.15 0.45 54.23 
-2.3 0.562 5.14 4.95 3.17 0.2 1.07 
-2.3 0.562 5.14 4.95 3.17 0.3 4.09 
-2.3 0.562 5.14 4.95 3.17 0.4 20.41 
-2.4 0.585 4.78 3.84 3.32 0.15 0.38 
-2.4 0.585 4.78 3.84 3.32 0.25 1.98 
-2.4 0.585 4.78 3.84 3.32 0.35 8.04 
-2.4 0.585 4.78 3.84 3.32 0.45 44.38 
-2.2 0.546 4.78 4.13 3.07 0.2 0.86 
-2.2 0.546 4.78 4.13 3.07 0.3 3.45 
-2.2 0.546 4.78 4.13 3.07 0.4 21.99 
0 0.565 4.77 3.99 3.15 0.15 0.24 
0 0.565 4.77 3.99 3.15 0.25 1.96 
0 0.565 4.77 3.99 3.15 0.35 9.07 
0 0.565 4.77 3.99 3.15 0.45 55.44 
-5 0.565 4.77 3.99 3.15 0.2 0.7 
-5 0.565 4.77 3.99 3.15 0.3 4.12 
-5 0.565 4.77 3.99 3.15 0.4 21.02 
0 0.565 5.1 3.94 3.51 0.15 0.26 
0 0.565 5.1 3.94 3.51 0.25 1.9 
0 0.565 5.1 3.94 3.51 0.35 8.76 
0 0.565 5.1 3.94 3.51 0.45 51.99 
-5 0.565 5.1 3.94 3.51 0.2 0.77 
-5 0.565 5.1 3.94 3.51 0.3 3.85 
-5 0.565 5.1 3.94 3.51 0.4 20.91 
-2.3 0.53 5.11 3.69 3.51 0.15 0.25 
-2.3 0.53 5.11 3.69 3.51 0.25 1.57 
-2.3 0.53 5.11 3.69 3.51 0.35 7.84 
-2.3 0.53 5.11 3.69 3.51 0.45 55.17 
-2.3 0.53 4.76 3.68 3.16 0.2 0.76 
-2.3 0.53 4.76 3.68 3.16 0.3 3.09 
-2.3 0.53 4.76 3.68 3.16 0.4 23.96 
-2.3 0.53 4.34 2.81 3.15 0.15 0.17 
-2.3 0.53 4.34 2.81 3.15 0.25 1.43 
-2.3 0.53 4.34 2.81 3.15 0.35 7.19 
-2.3 0.53 4.34 2.81 3.15 0.45 62.42 
0 0.6 4.78 4.24 3.15 0.2 0.73 
0 0.6 4.78 4.24 3.15 0.3 5.06 
0 0.6 4.78 4.24 3.15 0.4 23.15 
-5 0.6 4.78 4.24 3.15 0.15 0.15 
-5 0.6 4.78 4.24 3.15 0.25 1.85 
-5 0.6 4.78 4.24 3.15 0.35 8.62 
-5 0.6 4.78 4.24 3.15 0.45 50.94 
0 0.53 4.78 3.75 3.15 0.2 0.92 
0 0.53 4.78 3.75 3.15 0.3 3.7 
0 0.53 4.78 3.75 3.15 0.4 27.34 
-5 0.53 4.78 3.75 3.15 0.15 0.24 
-5 0.53 4.78 3.75 3.15 0.25 1.85 
-5 0.53 4.78 3.75 3.15 0.35 7.95 
-5 0.53 4.78 3.75 3.15 0.45 55.87 
-2.3 0.6 5.1 4.17 3.51 0.2 0.73 
-2.3 0.6 5.1 4.17 3.51 0.3 4.46 
-2.3 0.6 5.1 4.17 3.51 0.4 20.14 
-2.3 0.6 4.34 4.23 2.73 0.15 0.17 
-2.3 0.6 4.34 4.23 2.73 0.25 1.62 
-2.3 0.6 4.34 4.23 2.73 0.35 8.47 
-2.3 0.6 4.34 4.23 2.73 0.45 46.66 
