% Flood Neural Network. Input-Target Data Set Object.
NumberOfSamples:
752
NumberOfInputVariables:
5
NumberOfTargetVariables:
1
NameOfInputVariables:
Frequency AngleOfAttack ChordLength SuctionSideDisplacementThickness FreestreamSpeed 
NameOfTargetVariables:
ScaledSoundPressureLevel 
UnitsOfInputVariables:
(Hz) (º) (m) (m) (m/s) 
UnitsOfTargetVariables:
(dB) 
DescriptionOfInputVariables:
None None None None None
DescriptionOfTargetVariables:
None
InputAndTargetData:
800 0 0.3048 71.3 0.00266337 126.201 
1250 0 0.3048 71.3 0.00266337 125.951 
2000 0 0.3048 71.3 0.00266337 127.461 
3150 0 0.3048 71.3 0.00266337 125.201 
5000 0 0.3048 71.3 0.00266337 121.301 
8000 0 0.3048 71.3 0.00266337 117.151 
12500 0 0.3048 71.3 0.00266337 112.241 
500 0 0.3048 55.5 0.00283081 126.416 
800 0 0.3048 55.5 0.00283081 128.086 
1250 0 0.3048 55.5 0.00283081 126.086 
2000 0 0.3048 55.5 0.00283081 126.616 
3150 0 0.3048 55.5 0.00283081 123.236 
5000 0 0.3048 55.5 0.00283081 119.606 
8000 0 0.3048 55.5 0.00283081 116.476 
12500 0 0.3048 55.5 0.00283081 111.076 
250 0 0.3048 39.6 0.00310138 119.319 
400 0 0.3048 39.6 0.00310138 124.809 
630 0 0.3048 39.6 0.00310138 128.629 
1000 0 0.3048 39.6 0.00310138 127.899 
1600 0 0.3048 39.6 0.00310138 124.049 
2500 0 0.3048 39.6 0.00310138 121.399 
4000 0 0.3048 39.6 0.00310138 119.229 
6300 0 0.3048 39.6 0.00310138 116.229 
10000 0 0.3048 39.6 0.00310138 112.139 
200 0 0.3048 31.7 0.00331266 117.195 
315 0 0.3048 31.7 0.00331266 122.765 
500 0 0.3048 31.7 0.00331266 127.315 
800 0 0.3048 31.7 0.00331266 129.235 
1250 0 0.3048 31.7 0.00331266 124.355 
2000 0 0.3048 31.7 0.00331266 122.375 
3150 0 0.3048 31.7 0.00331266 119.135 
5000 0 0.3048 31.7 0.00331266 115.645 
8000 0 0.3048 31.7 0.00331266 110.515 
800 1.5 0.3048 71.3 0.00336729 127.122 
1250 1.5 0.3048 71.3 0.00336729 125.872 
2000 1.5 0.3048 71.3 0.00336729 126.642 
3150 1.5 0.3048 71.3 0.00336729 123.392 
5000 1.5 0.3048 71.3 0.00336729 119.632 
8000 1.5 0.3048 71.3 0.00336729 115.372 
12500 1.5 0.3048 71.3 0.00336729 109.222 
315 1.5 0.3048 39.6 0.00392107 121.851 
500 1.5 0.3048 39.6 0.00392107 126.661 
800 1.5 0.3048 39.6 0.00392107 128.831 
1250 1.5 0.3048 39.6 0.00392107 125.211 
2000 1.5 0.3048 39.6 0.00392107 122.101 
3150 1.5 0.3048 39.6 0.00392107 119.111 
