% Flood Neural Network. Linear Regression Analysis Results.
% 
% ScaledSoundPressureLevel
% Linear regression parameters (y = a + bx):
% a = 16.71;
% b = 0.866048;
% R = 0.851694;
% Target and output data:
127.591 127.969
123.061 121.749
115.391 115.937
127.696 125.431
126.986 127.28
121.106 119.981
113.076 114.126
122.779 123.686
129.099 125.93
123.689 124.899
117.789 117.396
109.619 109.666
125.045 124.336
127.365 126.48
120.755 121.427
113.775 116.041
125.992 127.688
124.512 124.653
118.122 117.817
106.582 109.32
128.311 126.602
122.211 125.597
117.741 116.712
108.991 111.182
129.354 127.475
126.514 127.864
120.264 117.946
110.224 112.618
129.949 128.335
123.069 123.187
117.309 115.875
123.312 127.159
129.552 128.143
120.532 120.985
115.792 114.967
125.398 128.091
126.838 127.047
119.598 117.559
109.718 114.238
130.715 128.179
129.395 128.863
121.775 118.303
113.665 114.737
126.843 128.676
130.723 128.111
120.963 119.532
113.733 114.45
128.354 127.128
122.044 123.4
114.984 111.553
123.78 123.837
127.91 128.212
125.16 125.624
121.055 122.937
130.205 126.913
125.305 127.225
122.175 121.569
126.675 125.261
128.805 127.986
123.445 123.065
125.116 122.434
128.956 128.542
127.006 127.362
120.786 120.846
124.692 125.455
128.762 129.466
123.742 123.622
120.137 124.492
129.037 128.269
122.797 125.748
118.827 118.854
126.677 126.869
128.677 128.189
121.527 120.426
126.758 127.003
131.718 131.017
124.108 122.939
112.848 113.746
109.638 108.781
131.864 129.844
124.254 125.355
120.034 118.167
123.879 128.002
129.969 128.741
119.649 120.474
114.249 113.974
126.149 128.407
129.869 127.909
120.209 119.429
112.699 113.084
133.48 131.752
125.89 126.02
118.05 118.229
127.011 128.951
132.011 129.517
123.081 123.08
115.801 116.257
139.918 135.479
133.768 135.416
125.728 126.168
119.208 116.593
136.384 134.495
130.934 132.486
123.354 122.84
117.284 115.44
131.889 132.677
128.929 129.376
121.059 120.217
114.079 114.546
130.089 131.655
126.189 127.926
119.039 119.178
112.639 114.172
127.307 129.181
128.127 129.131
125.427 122.951
113.297 115.371
128.583 128.937
127.763 127.844
123.303 121.891
112.803 113.732
130.033 128.708
126.863 127.037
121.313 121.079
125.997 125.709
130.817 128.45
123.807 123.616
127.404 124.159
130.644 131.309
126.534 125.988
116.724 117.894
125.809 126.125
130.049 129.017
121.889 122.216
112.589 114.5
128.971 127.881
133.241 131.815
121.431 123.214
129.367 127.038
130.777 130.98
121.587 123.568
114.927 115.014
132.357 128.829
126.267 126.917
117.137 118.432
127.781 127.122
128.241 128.497
119.151 121.679
115.591 113.943
134.853 133.914
130.893 130.64
119.343 119.455
110.313 112.102
132.658 130.218
122.428 125.849
111.818 117.083
111.588 111.247
135.459 133.432
128.879 131.359
120.779 122.606
114.569 111.268
132.355 130.91
126.565 127.704
119.505 119.967
112.065 110.285
128.595 127.995
126.345 124.275
117.925 117.676
111.135 109.435
128.809 126.387
125.539 122.59
116.859 116.58
109.949 109.004
128.484 126.771
123.054 121.688
117.504 114.524
